Herd,Year,Status,StatusClass,Area,Perimeter,PopTot,PopAdults,Ewes,Rams,Lambs,NonResident,RT,T,Translocation,TypeBoth,TypeSupp,TypeVac,Visitors,VisEwes,VisRams,VisR,VisRT,VisT
Asotin,1995,Healthy,0,140.0676585,67862.75353,55,45,27,18,18,0,0,0,0,0,0,0,,,,,,
Asotin,1996,Healthy,0,140.0676585,67862.75353,10,7,5,2,3,0,0,0,0,0,0,0,,,,,,
Asotin,1997,Healthy,0,140.0676585,67862.75353,21,20,13,7,1,1,0,1,1,1,0,0,0,0,0,0,0,0
Asotin,1998,Healthy,0,140.0676585,67862.75353,24,17,11,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Asotin,1999,Healthy,0,140.0676585,67862.75353,29,21,15,6,8,0,0,0,1,1,0,0,0,0,0,0,0,0
Asotin,2000,Healthy,0,140.0676585,67862.75353,34,31,23,8,3,0,0,0,1,0,0,1,0,0,0,0,0,0
Asotin,2001,Healthy,0,140.0676585,67862.75353,36,27,18,9,9,0,0,0,1,0,0,1,0,0,0,0,0,0
Asotin,2002,Healthy,0,140.0676585,67862.75353,42,31,23,8,11,0,0,0,1,0,0,1,0,0,0,0,0,0
Asotin,2003,Healthy,0,140.0676585,67862.75353,46,34,22,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Asotin,2004,Healthy,0,140.0676585,67862.75353,44,36,26,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Asotin,2005,Healthy,0,140.0676585,67862.75353,63,50,34,16,13,0,0,0,1,0,1,0,0,0,0,0,0,0
Asotin,2006,Healthy,0,140.0676585,67862.75353,60,50,30,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Asotin,2007,Healthy,0,140.0676585,67862.75353,80,67,40,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Asotin,2008,Healthy,0,140.0676585,67862.75353,93,75,48,27,18,0,0,0,0,0,0,0,0,0,0,0,0,0
Asotin,2009,Healthy,0,140.0676585,67862.75353,100,83,46,37,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Asotin,2010,Healthy,0,140.0676585,67862.75353,101,78,40,38,23,0,0,0,0,0,0,0,0,0,0,0,0,0
Asotin,2011,Outbreak,1,140.0676585,67862.75353,69,57,25,32,12,0,0,0,1,1,0,0,0,0,0,0,0,0
Asotin,2012,Infected - Lambs,1,140.0676585,67862.75353,64,59,32,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Asotin,2013,Infected - Lambs,1,140.0676585,67862.75353,65,56,29,27,9,0,0,0,0,0,0,0,,,,,,
Asotin,2014,Infected - Lambs,1,140.0676585,67862.75353,54,41,24,17,13,0,0,0,1,0,1,0,,,,,,
Asotin,2015,Healthy,0,140.0676585,67862.75353,72,56,32,24,16,0,0,0,0,0,0,0,,,,,,
Bear Creek,2012,Infected - Lambs,1,89.31863733,69244.34149,47,45,29,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bear Creek,2013,Infected - Lambs,1,89.31863733,69244.34149,41,30,27,3,11,0,0,0,0,0,0,0,,,,,,
Bear Creek,2014,Infected - All Ages,1,89.31863733,69244.34149,64,49,42,7,15,0,0,0,1,0,1,0,,,,,,
Bear Creek,2015,Infected - All Ages,1,89.31863733,69244.34149,43,30,24,6,13,0,0,0,0,0,0,0,,,,,,
Big Canyon,1997,Healthy,0,107.1248419,49968.82113,15,15,12,3,0,1,0,1,1,1,0,0,0,0,0,0,0,0
Big Canyon,1998,Healthy,0,107.1248419,49968.82113,27,20,15,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Canyon,1999,Healthy,0,107.1248419,49968.82113,37,25,17,8,12,1,0,1,1,1,0,0,8,7,1,0,0,8
Big Canyon,2000,Outbreak,1,107.1248419,49968.82113,25,24,16,8,1,0,0,0,1,0,0,1,6,5,1,0,0,6
